,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
68147,A3AE5F66F718408F,electric_bike,2024-12-03 09:38:29.351,2024-12-03 09:40:04.396,Prospect Ave & Longwood Ave,7870.02,,,40.81899,-73.90202,40.82,-73.9,member
68148,99F0D441BDE3B855,electric_bike,2024-12-14 04:15:27.168,2024-12-14 05:20:22.975,Lenox Ave & W 117 St,7655.22,,,40.8025566,-73.9490782,40.87,-73.9,member
68151,E95146995875690E,electric_bike,2024-12-10 13:32:01.817,2024-12-10 14:07:36.581,E 2 St & 2 Ave,5593.02,,,40.72502876,-73.99069656,40.67,-73.99,member
68152,F4D38215EEBDA31F,electric_bike,2024-12-12 12:51:32.121,2024-12-12 13:02:05.009,Eagle St & Manhattan Ave,5902.07,,,40.735217,-73.954926,40.74,-73.95,member
68157,4900BED5BA6F77F7,classic_bike,2024-12-12 20:02:13.706,2024-12-13 21:01:53.804,Adam Clayton Powell Blvd & W 138 St,7855.03,,,40.81695971032464,-73.9422959089279,,,member
68161,3F41D4A0946C7EB9,electric_bike,2024-12-05 21:06:52.631,2024-12-06 01:36:53.429,Freeman St & Reverend James A Polite Ave,8080.01,,,40.830529,-73.894717,40.85,-73.91,casual
68163,57A22708EE63D700,electric_bike,2024-12-06 12:36:00.114,2024-12-06 14:19:31.925,Central Park S & 6 Ave,6876.04,,,40.76590936,-73.97634151,40.78,-73.96,casual
68166,ABF3F3E1475C24B7,electric_bike,2024-12-12 13:20:20.199,2024-12-12 14:25:19.538,8 Ave & W 16 St,6072.11,,,40.740983,-74.001702,40.75,-74.0,member
68167,162AAEC3BE82FEC4,electric_bike,2024-12-12 15:38:39.369,2024-12-12 16:04:59.151,1 Ave & E 16 St,5779.08,,,40.73221853,-73.98165557,40.73,-73.98,member
68172,4B3D2046D1DCE06D,electric_bike,2024-12-03 15:22:06.640,2024-12-03 21:07:54.819,Fulton Ave & E 172 St,8186.01,,,40.839229,-73.899047,40.84,-73.91,casual
68173,5BFCB46670C3F8A2,electric_bike,2024-12-03 15:22:20.987,2024-12-03 18:44:30.819,Fulton Ave & E 172 St,8186.01,,,40.839229,-73.899047,40.85,-73.88,casual
68188,9D8C4D65CBCFFAAF,electric_bike,2024-12-05 09:44:16.195,2024-12-05 10:05:07.018,3 Ave & Franklin Ave,8012.04,,,40.82696,-73.907451,40.82,-73.92,member
68191,558666E8EC576091,electric_bike,2024-12-10 14:55:57.313,2024-12-10 15:26:01.510,Barclay St & Church St,5216.04,,,40.71291224,-74.01020234,40.72,-73.98,member
68198,1AC1C0059324327D,electric_bike,2024-12-12 15:29:18.198,2024-12-12 16:33:50.709,E 84 St & 1 Ave,7180.02,,,40.77565541,-73.95068615,40.78,-73.95,member
68209,B6863604C974AD11,electric_bike,2024-12-10 13:31:05.838,2024-12-10 13:56:19.166,E 1 St & 1 Ave,5593.01,,,40.72335597960796,-73.98864984512329,40.73,-74.0,member
68212,43EDAEB789ADB0B4,electric_bike,2024-12-04 09:21:43.850,2024-12-04 10:36:59.755,Ashland Pl & Dekalb Ave,4513.09,,,40.690065,-73.978776,40.7,-73.98,member
68216,4408433A8ED4E303,electric_bike,2024-12-11 10:42:26.523,2024-12-11 11:46:07.213,Columbia Heights & Cranberry St,4829.01,,,40.70037867,-73.99548059,40.69,-74.0,member
68218,8C4B8173ACD5431C,electric_bike,2024-12-12 12:23:52.106,2024-12-12 13:14:55.279,Grand St & Havemeyer St,5267.08,,,40.71286844,-73.95698119,40.7,-73.99,casual
68267,541F2706066FA501,electric_bike,2024-12-12 14:08:09.171,2024-12-12 16:22:07.517,31 Ave & 34 St,6819.15,,,40.763154,-73.920827,40.77,-73.9,member
68273,06196E8BB49A20D2,electric_bike,2024-12-05 08:53:00.271,2024-12-05 10:02:40.227,Willoughby St & Fleet St,4628.05,,,40.69196566,-73.9813018,40.69,-74.0,member
68281,1A18DB67B941B856,electric_bike,2024-12-05 18:09:01.220,2024-12-05 18:29:36.197,Sands St Gate,4812.04,,,40.699569,-73.979827,40.72,-73.96,member
68294,106C0E210C645651,electric_bike,2024-12-02 10:55:13.184,2024-12-02 12:08:17.200,E 76 St & Park Ave,7128.08,,,40.773763,-73.96222088,40.76,-73.98,member
68298,1EB936CD567BCE1C,electric_bike,2024-12-10 06:43:02.470,2024-12-10 07:11:44.829,E 2 St & 2 Ave,5593.02,,,40.72502876,-73.99069656,40.76,-74.0,member
68300,6E2304A7BAD09370,electric_bike,2024-12-12 14:50:25.280,2024-12-12 16:39:01.479,Pike St & E Broadway,5270.05,,,40.71406667,-73.99293911,40.72,-73.99,member
68305,A8F130FC58DC147C,electric_bike,2024-12-07 02:34:07.524,2024-12-07 02:40:48.621,W 100 St & Broadway,7580.01,,,40.7973721,-73.97041192,40.8,-73.97,casual
68306,13687C2C121B8621,electric_bike,2024-12-12 09:50:56.496,2024-12-12 10:42:48.806,Woodward Ave & Harman St,5074.08,,,40.70793,-73.91092,40.69,-73.99,casual
68309,92DE779F8278A943,electric_bike,2024-12-10 09:10:58.745,2024-12-10 10:13:19.500,Carmine St & 6 Ave,5763.03,,,40.73038599,-74.00214988,40.73,-74.01,member
68312,6CD6350E8081093E,classic_bike,2024-12-11 09:08:41.690,2024-12-12 10:08:31.982,Carmine St & 6 Ave,5763.03,,,40.73038599,-74.00214988,,,member
68313,F076A1246D80E6EB,electric_bike,2024-12-12 14:01:26.852,2024-12-12 14:50:36.922,Westchester Ave & Jackson Ave,7853.01,,,40.816124,-73.908116,40.82,-73.91,member
68317,ABBF91AB6DCB3905,electric_bike,2024-12-13 08:02:00.042,2024-12-13 10:01:12.558,E 5 St & Ave C,5545.04,,,40.72299208,-73.97995466,40.72,-74.02,member
68319,CEF5C46BC9E999FF,electric_bike,2024-12-12 15:10:01.671,2024-12-12 15:21:24.353,Vyse Ave & E 181 St,8306.03,,,40.84463,-73.87988,40.84,-73.91,member
68320,9056F319C71FF05D,electric_bike,2024-12-12 13:28:20.762,2024-12-12 14:10:33.512,E 84 St & 1 Ave,7180.02,,,40.77565541,-73.95068615,40.72,-73.99,member
68324,27C2E9ED85EA5E44,electric_bike,2024-12-13 07:49:56.452,2024-12-13 09:55:06.533,W 100 St & Broadway,7580.01,,,40.7973721,-73.97041192,40.79,-73.97,casual
68326,E4D66052ACB16C40,electric_bike,2024-12-12 16:12:57.344,2024-12-12 16:30:10.082,W 30 St & 10 Ave,6459.07,,,40.752694,-74.002353,40.76,-74.0,member
68335,E7A4CC436E09D521,electric_bike,2024-12-10 15:11:22.157,2024-12-10 15:52:18.960,Concourse Village East & E 158 St,8000.02,,,40.823732,-73.919379,40.8,-73.93,member
68343,29B2C619779EFF8F,electric_bike,2024-12-12 18:37:23.141,2024-12-12 19:02:08.895,Lenox Ave & W 117 St,7655.22,,,40.8025566,-73.9490782,40.8,-73.96,casual
68346,372F4C7B3E4244E5,electric_bike,2024-12-02 07:14:23.736,2024-12-02 07:34:01.201,W 20 St & 10 Ave,6306.01,,,40.745686,-74.005141,40.74,-73.99,casual
68347,25E3D58CD05B6344,classic_bike,2024-12-09 11:57:27.014,2024-12-10 12:57:21.480,5 Ave & E 63 St,6904.06,,,40.766368,-73.971518,,,casual
68351,F750F39F6D391AE4,electric_bike,2024-12-14 10:30:33.968,2024-12-14 10:52:06.937,Division Ave & Hooper St,5045.05,,,40.70684203101325,-73.9544353965357,40.73,-73.99,member
68353,CD2AC373FF799647,electric_bike,2024-12-14 13:38:34.941,2024-12-14 13:56:28.791,E 84 St & 1 Ave,7180.02,,,40.77565541,-73.95068615,40.76,-73.97,member
68355,17B580AA1A0F4632,electric_bike,2024-12-03 15:04:03.899,2024-12-03 15:13:37.816,Grand St & Greene St,5500.02,,,40.72170005235607,-74.00238141417502,40.72,-73.99,casual
68361,8669329FB45425FE,electric_bike,2024-12-03 17:02:36.838,2024-12-03 17:10:21.361,Lenox Ave & W 117 St,7655.22,,,40.8025566,-73.9490782,40.81,-73.95,member
68363,A7E9D8476E510E70,electric_bike,2024-12-13 07:48:49.505,2024-12-13 08:17:11.070,W 20 St & 10 Ave,6306.01,,,40.745686,-74.005141,40.76,-73.98,member
68376,211CCF27D1389F94,electric_bike,2024-12-05 07:10:57.826,2024-12-05 07:27:18.377,Division Ave & Hooper St,5045.05,,,40.70684203101325,-73.9544353965357,40.7,-73.95,casual
68377,0330BC5B52254B80,electric_bike,2024-12-10 13:33:04.956,2024-12-10 13:50:05.912,11 Ave & W 59 St,7059.01,,,40.77149671054441,-73.99046033620834,40.78,-73.97,member
68380,3C139E383ECC197B,electric_bike,2024-12-11 07:29:34.304,2024-12-11 07:37:11.727,Adam Clayton Powell Blvd & W 138 St,7855.03,,,40.81695971032464,-73.9422959089279,40.82,-73.96,member
68386,ED26B32ADB856742,electric_bike,2024-12-09 02:13:14.880,2024-12-09 02:16:50.850,Washington Pl & Greene St,5755.15,,,40.72980619180496,-73.99546380915461,40.73,-73.99,casual
68388,7D4B22C5574D63C9,electric_bike,2024-12-07 12:33:26.361,2024-12-07 13:04:25.233,W 25 St & 9 Ave,6339.06,,,40.747832605837715,-74.0005722643582,40.72,-73.98,casual
68398,FC6F05A7673EB2B7,electric_bike,2024-12-10 17:05:59.888,2024-12-10 17:10:52.639,21 St & 31 Dr,6865.03,,,40.7659,-73.930819,40.76,-73.92,casual
68403,2C1D546C5CC6FFB2,electric_bike,2024-12-05 22:01:23.491,2024-12-05 23:10:34.260,11 Ave & W 59 St,7059.01,,,40.77149671054441,-73.99046033620834,40.76,-74.0,casual
68439,B5F3F2E1D85565AB,electric_bike,2024-12-09 19:11:08.852,2024-12-09 19:29:19.084,W 31 St & 7 Ave,6331.01,,,40.749156,-73.9916,40.76,-74.0,member
68444,CF64FB0297BA3692,electric_bike,2024-12-14 13:44:13.364,2024-12-14 19:04:48.700,Botanical Sq & Webster Ave,8646.02,,,40.86814,-73.88145,40.87,-73.88,casual
68447,4C41F3086AC71284,electric_bike,2024-12-13 19:04:00.238,2024-12-13 19:26:44.639,8 Ave & W 16 St,6072.11,,,40.740983,-74.001702,40.74,-74.0,casual
68455,AB980F35A669E664,electric_bike,2024-12-13 09:04:59.408,2024-12-13 09:08:52.174,E 165 St & Clay Ave,8052.02,,,40.82809,-73.91288,40.83,-73.9,member
68456,B5945E95E709E237,electric_bike,2024-12-06 08:58:52.732,2024-12-06 09:03:16.975,E 165 St & Clay Ave,8052.02,,,40.82809,-73.91288,40.83,-73.9,member
68457,AFFD04A4AA881F47,classic_bike,2024-12-08 04:23:44.631,2024-12-09 05:23:38.463,Hope St & Union Ave,5187.03,,,40.71167351,-73.95141312,,,casual
